Date,Open,High,Low,Close,Adj Close,Volume,Days
2018-11-14,122.989998,126.589996,121.790001,122.190002,111.904861,1505800,190
2018-11-15,121.900002,121.900002,116.5,119.82,109.73436,1539700,191
2018-11-16,118.940002,119.199997,116.639999,117.279999,107.408157,1294200,192
2018-11-19,117.489998,117.989998,112.589996,113.440002,103.891396,1525200,193
2018-11-20,110.849998,113.220001,108.370003,111.379997,102.004776,1816100,194
2018-11-21,112.110001,115.269997,112.110001,114.800003,105.136932,956100,195
2018-11-23,114.080002,115.730003,113.769997,114.900002,105.228493,464300,196
2018-11-26,115.769997,117.5,115.610001,117.07,107.215843,887900,197
2018-11-27,116.309998,116.309998,111.660004,112.559998,103.085457,1540400,198
2018-11-28,112.220001,113.459999,110.540001,112.480003,103.012192,1528900,199
2018-11-29,112.559998,113.379997,111.099998,111.290001,101.922371,878800,200
2018-11-30,110.68,113.169998,110.389999,111.400002,102.023094,1548700,201
2018-12-03,113.459999,115.510002,113.330002,114.940002,105.265121,1750000,202
2018-12-04,115.089996,115.510002,109.239998,109.870003,100.621887,1392100,203
2018-12-06,107.5,108.959999,105.190002,108.830002,99.669418,1781700,204
2018-12-07,108.769997,110,104.559998,104.900002,96.070221,1959800,205
2018-12-10,104.470001,106.110001,102.239998,105.139999,96.290016,1187000,206
2018-12-11,106.959999,108.169998,104.110001,105.309998,96.445702,1019000,207
2018-12-12,106.230003,109.480003,106.230003,108.139999,99.037483,1405600,208
2018-12-13,108.370003,108.620003,102.559998,103.480003,94.769753,1227900,209
2018-12-14,102.089996,105.169998,101.050003,101.5,92.956421,1105600,210
2018-12-17,99.980003,102.5,97.800003,100.959999,92.461868,1658900,211
2018-12-18,101.910004,103.540001,101.32,102.480003,93.853912,1082300,212
2018-12-19,102.480003,104.419998,100.43,101.050003,92.544296,970600,213
2018-12-20,100.82,102.360001,97.949997,99.389999,91.024017,1083300,214
2018-12-21,99.699997,101.769997,97.489998,97.529999,89.320572,1788800,215
2018-12-24,97.480003,97.949997,95.629997,96.199997,88.102524,440100,216
2018-12-26,97.029999,101.980003,97.029999,101.93,93.350212,754400,217
2018-12-27,100.459999,102.050003,98.150002,102.050003,94.03672,1099000,218
2018-12-28,102.639999,104.32,101.050003,101.779999,93.78791,923300,219
2018-12-31,102.540001,103.919998,101.150002,103.459999,95.335999,818300,220
2019-01-02,101.540001,106.629997,101.18,105.440002,97.16053,875400,221
2019-01-03,104.910004,104.910004,100.440002,100.68,92.774284,1157800,222
2019-01-04,102.550003,105.75,102.489998,104.790001,96.561577,871500,223
2019-01-07,105.650002,107.510002,105.239998,106.699997,98.321571,1285300,224
2019-01-08,108.269997,109.190002,106.57,108.330002,99.823608,922500,225
2019-01-09,109.639999,110.540001,108.839996,109.459999,100.864861,791500,226
2019-01-10,107.489998,107.760002,104.779999,106.860001,98.469017,1241200,227
2019-01-11,106.730003,108.790001,105.330002,105.43,97.151306,1081200,228
2019-01-14,104.730003,108.260002,104.720001,106.669998,98.293945,1299000,229
2019-01-15,106.730003,107.309998,104.860001,106.169998,97.833214,653700,230
2019-01-16,106.18,106.889999,105.309998,105.629997,97.335602,1033700,231
2019-01-17,104.809998,109.32,104.779999,107.879997,99.408936,634300,232
2019-01-18,109.449997,112.160004,109.080002,111.57,102.809181,978900,233
2019-01-22,111,111.989998,108.809998,109.330002,100.745079,797900,234
2019-01-23,109.959999,111.190002,109.010002,110.279999,101.620476,719700,235
2019-01-24,110.529999,111.099998,109,110.940002,102.228661,611100,236
2019-01-25,112.269997,113.860001,111.480003,113.639999,104.716629,817700,237
2019-01-28,112.629997,115.230003,112.150002,115.089996,106.052773,810400,238
2019-01-29,115.860001,116.440002,114.300003,116.150002,107.029549,821400,239
2019-01-30,117.43,117.489998,115.860001,116.949997,107.766724,575800,240
2019-01-31,117.900002,117.900002,115.230003,116.139999,107.020325,916500,241
2019-02-01,116.300003,117.260002,115.349998,115.779999,106.688599,1254200,242
2019-02-04,115.760002,116.160004,113.889999,114.550003,105.555183,1284900,243
2019-02-05,122.660004,128.649994,122.099998,124.160004,114.410576,3927200,244
2019-02-06,124.809998,126.199997,123.139999,126.080002,116.17981,1643000,245
2019-02-07,125.050003,126.260002,123.639999,125.5,115.64534,1605800,246
2019-02-08,124.93,126.150002,124.209999,125.029999,115.212265,1474600,247
2019-02-11,125.5,126.410004,125.169998,125.599998,115.737495,824800,248
2019-02-12,126.190002,128,125.800003,126.660004,116.714279,1106400,249
2019-02-13,126.970001,127.449997,123.019997,123.239998,113.562805,1747900,250
2019-02-14,121.910004,123.480003,119.580002,122.790001,113.148155,1503600,251
2019-02-15,123.959999,125.360001,122.860001,125.089996,115.26754,1063000,252
2019-02-19,124.870003,126.190002,124.169998,125.449997,115.599281,939700,253
2019-02-20,125.809998,126.050003,124.360001,125.330002,115.488701,694700,254
2019-02-21,125.419998,128,124.660004,126.239998,116.32724,1460300,255
2019-02-22,126.440002,128.110001,126.440002,127.120003,117.138153,672700,256
2019-02-25,128.130005,128.919998,126.720001,127.150002,117.165802,948400,257
2019-02-26,127.199997,128,126.379997,126.510002,116.576035,519700,258
2019-02-27,126.389999,127.449997,125.360001,127.230003,117.239517,984400,259
2019-02-28,126.919998,127.099998,125.089996,125.169998,115.341255,694100,260
2019-03-01,127.050003,129.75,125.809998,126.970001,116.999916,938500,261
2019-03-04,126.959999,127.739998,125,125.419998,115.571617,824800,262
2019-03-05,125.830002,126.830002,124.839996,124.870003,115.064827,545500,263
2019-03-06,125.07,125.279999,122.739998,124.089996,114.346069,844400,264
2019-03-07,123.389999,124.389999,122.290001,123.349998,113.664177,785900,265
2019-03-08,122.150002,122.620003,120.349998,122.059998,112.475471,977900,266
2019-03-11,122.169998,123.699997,121.970001,123.459999,113.765549,566100,267
2019-03-12,123.650002,124.110001,121.5,122.849998,113.20343,558600,268
2019-03-13,123.400002,124,121.519997,121.68,112.125305,1397900,269
2019-03-14,121.720001,122.349998,120.639999,121.529999,111.987091,1147200,270
2019-03-15,121.330002,122.339996,120.400002,120.779999,111.295967,1418100,271
2019-03-18,121.489998,124.440002,121.139999,124.209999,114.456642,901900,272
2019-03-19,124.290001,126.43,124.290001,124.809998,115.009537,952000,273
